slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
nurkiju01,Jusuf Nurkic,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,2253,5,10,0,0,14,16,5,18,7,5,5,4,4,34.9
leonaka01,Kawhi Leonard,TORONTO RAPTORS,HOME,UTAH JAZZ,WIN,2126,16,22,0,3,13,17,0,6,1,0,0,2,2,34.1
jokicni01,Nikola Jokic,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,2069,8,16,1,2,2,3,6,8,15,1,3,5,3,24.6
siakapa01,Pascal Siakam,TORONTO RAPTORS,HOME,UTAH JAZZ,WIN,1933,9,15,3,4,7,7,1,9,1,0,0,1,3,23.0
crowdja01,Jae Crowder,UTAH JAZZ,AWAY,TORONTO RAPTORS,LOSS,1609,9,15,5,7,7,7,0,6,0,0,0,1,3,22.7
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,AWAY,LOS ANGELES CLIPPERS,WIN,2117,9,19,2,4,8,12,4,15,3,1,3,5,5,22.2
beaslma01,Malik Beasley,DENVER NUGGETS,HOME,NEW YORK KNICKS,WIN,1796,8,15,5,9,2,2,0,6,5,1,0,0,0,22.0
lopezbr01,Brook Lopez,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1816,7,13,7,12,4,5,0,3,0,0,2,1,0,19.6
favorde01,Derrick Favors,UTAH JAZZ,AWAY,TORONTO RAPTORS,LOSS,1646,8,12,0,2,5,8,6,3,0,0,2,0,4,19.5
griffbl01,Blake Griffin,DETROIT PISTONS,AWAY,MILWAUKEE BUCKS,LOSS,1987,9,20,4,9,7,7,4,5,4,1,1,6,5,19.4
goberru01,Rudy Gobert,UTAH JAZZ,AWAY,TORONTO RAPTORS,LOSS,1935,6,7,0,0,4,5,3,6,2,2,0,0,3,19.2
kanteen01,Enes Kanter,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1203,6,11,0,0,5,6,7,5,2,0,0,0,3,17.9
hieldbu01,Buddy Hield,SACRAMENTO KINGS,HOME,PORTLAND TRAIL BLAZERS,LOSS,2342,11,23,5,8,0,0,2,3,4,0,1,2,4,17.5
kornelu01,Luke Kornet,NEW YORK KNICKS,AWAY,DENVER NUGGETS,LOSS,1619,6,9,4,7,3,3,0,6,1,0,1,0,3,17.1
bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,DETROIT PISTONS,WIN,1777,7,14,0,2,4,4,0,4,6,1,0,0,1,17.0
curryse01,Seth Curry,PORTLAND TRAIL BLAZERS,AWAY,SACRAMENTO KINGS,WIN,1318,6,9,4,6,2,2,0,1,1,3,0,1,1,16.7
