,Name,Position,Game,Team,Projected Fanduel Points,Projected Fanduel Value,Fanduel Salary,Value above Fanduel Value,Projected Draftkings Points,Projected Draftkings Value,FPPG (Fanduel),10 Game Average (Fanduel),3 Game Average (Fanduel),Opponent Defensive Rank vs Position,Injury Indicator,Injury Details,Hot,Cold
0,Jimmy Butler,SF,CLE@MIA,MIA,36.21,7243,11000,-$3757,35.74,6702,47.83,50.15,57.27,10.0, , ,0.0,0.0
1,Joel Embiid,C,NY@PHI,PHI,42.02,8404,10700,-$2296,42.24,7920,53.11,53.83,53.77,11.0,O,Knee,0.0,0.0
2,LeBron James,SF,MIN@LAL,LAL,41.92,8385,10400,-$2015,42.28,7928,47.34,52.99,48.5,25.0, , ,0.0,0.0
3,Damian Lillard,PG,NO@POR,POR,38.61,7722,10100,-$2378,41.64,7808,47.22,46.37,48.5,17.0, , ,0.0,0.0
4,Karl-Anthony Towns,C,MIN@LAL,MIN,32.36,6472,9700,-$3228,33.11,6209,44.74,42.26,32.63,16.0, , ,0.0,0.8976218473756877
5,Zach LaVine,SG,OKC@CHI,CHI,30.94,6189,9400,-$3211,32.13,6024,42.14,44.62,42.0,11.0, , ,0.0,0.0
6,Julius Randle,PF,NY@PHI,NY,39.67,7933,9200,-$1267,40.81,7651,44.0,41.77,38.0,11.0, , ,0.0,0.0
7,Trae Young,PG,ATL@HOU,ATL,33.04,6607,9000,-$2393,35.17,6595,44.0,43.58,44.47,14.0, , ,0.0,0.0
8,Anthony Davis,PF,MIN@LAL,LAL,33.29,6657,9000,-$2343,32.79,6148,44.55,45.11,40.9,20.0,O,Calf,0.0,0.0
9,Jayson Tatum,PF,UTA@BOS,BOS,35.33,7066,8900,-$1834,36.98,6933,43.11,44.49,41.63,1.0, , ,0.0,0.0
10,Rudy Gobert,C,UTA@BOS,UTA,36.5,7301,8800,-$1499,35.91,6732,40.35,40.69,44.73,24.0, , ,0.0,0.0
11,CJ McCollum,SG,NO@POR,POR,32.41,6482,8700,-$2218,34.29,6430,42.75,40.67,45.83,27.0, , ,0.0,0.0
12,Christian Wood,PF,ATL@HOU,HOU,39.72,7945,8600,-$655,40.11,7520,41.81,40.1,33.43,15.0,GTD,Ankle,0.0,0.0
13,John Wall,PG,ATL@HOU,HOU,35.79,7157,8500,-$1343,38.67,7250,35.47,40.09,43.57,26.5,O,Knee,0.0,0.0
14,Bam Adebayo,PF,CLE@MIA,MIA,34.01,6802,8500,-$1698,33.35,6253,41.49,41.11,35.63,27.0,GTD,Knee,0.0,0.0
15,Zion Williamson,PF,NO@POR,NO,30.06,6011,8400,-$2389,30.04,5633,40.23,40.49,41.6,5.0, , ,0.0,0.0
16,Clint Capela,C,ATL@HOU,ATL,32.13,6427,8300,-$1873,32.77,6144,40.95,38.02,39.77,18.0,GTD,Heel,0.0,0.0
17,Donovan Mitchell,SG,UTA@BOS,UTA,35.07,7013,8200,-$1187,37.17,6969,38.82,44.39,45.93,23.0, , ,0.0,0.0
18,Ben Simmons,PG,NY@PHI,PHI,32.5,6499,8200,-$1701,32.9,6169,40.23,42.53,31.9,8.0, , ,0.0,1.3814400447765387
19,Shai Gilgeous-Alexander,SG,OKC@CHI,OKC,36.77,7355,8000,-$645,39.15,7342,40.15,40.38,39.37,16.0, , ,0.0,0.0
20,Tobias Harris,PF,NY@PHI,PHI,30.98,6196,7800,-$1604,31.21,5851,37.54,37.97,35.23,3.0, , ,0.0,0.0
21,Brandon Ingram,SF,NO@POR,NO,34.86,6972,7700,-$728,36.39,6822,38.85,38.93,36.13,5.0, , ,0.0,0.0
22,Victor Oladipo,SG,ATL@HOU,HOU,29.27,5853,7700,-$1847,31.23,5856,36.85,35.71,44.43,24.0, , ,0.3491113735992457,0.0
