,name,team,date,location,opponent,minutes,made_two_point_field_goals,made_three_point_field_goals,made_free_throws,rebounds,assists,blocks,steals,turnovers,recent_average,10_game_average,3_game_average,10_3_ratio,10_3_difference,hot,cold,fantasy_points,fantasy_points_8_9,projected_points,projected_points_draftkings,projected_value,projected_value_draftkings
4948,Anthony Davis,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,32.79,5.35,1.2,8.46,7.97,4.41,1.45,1.94,2.19,55.0,52.18,51.37,1.0154668703456178,0.8100000000000023,0.0,0.0,0,47.92433402835093,46.92,47.12,9384,7853
4949,Kawhi Leonard,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,31.32,6.01,4.19,6.1,7.13,4.74,0.16,0.86,1.76,46.27,46.24,44.1,1.047450110864745,2.1400000000000006,0.0,0.0,0,44.437996509873926,47.66,51.47,9531,8578
4950,Bojan Bogdanović,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,25.56,1.81,3.64,2.96,1.49,1.62,0.07,0.7,0.58,21.61,24.67,19.53,1.2503653190452997,5.140000000000001,0.0,0.0,0,21.527844854187066,23.45,26.36,4690,4394
4951,Paul George,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,24.28,4.48,1.95,1.6,4.06,3.77,0.27,1.25,1.22,27.91,32.54,25.27,1.276741530262657,7.27,0.0,0.2668440981773698,0,31.1139650759021,30.28,32.05,6055,5341
4952,Donovan Mitchell,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,30.24,5.74,3.68,3.31,2.73,3.05,0.0,0.67,1.27,38.99,35.61,46.13,0.776787608741778,-10.520000000000003,0.9871741040844295,0.0,0,32.197164888646725,34.42,37.86,6884,6310
4953,LeBron James,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,39.71,6.36,1.69,2.66,9.54,9.98,0.42,1.57,2.87,51.29,50.17,51.93,0.9667485358020027,-1.759999999999998,0.0,0.0,0,52.966546898343154,49.97,52.23,9994,8705
4954,Rajon Rondo,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,25.5,2.69,1.87,0.4,3.41,4.11,0.8,0.83,1.62,19.02,19.63,21.57,0.9140451927337173,-1.9400000000000013,0.0,0.0,0,23.075190703350245,24.92,26.7,4983,4450
4955,Mike Conley,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,26.39,2.45,3.57,0.76,2.28,3.59,0.06,0.58,1.16,27.81,25.93,21.6,1.1915929203539821,4.329999999999998,0.0,0.0,0,23.92922311267418,25.25,28.59,5050,4765
4956,Kentavious Caldwell-Pope,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,24.06,1.75,3.22,1.5,2.51,1.62,0.36,0.82,0.83,18.21,16.29,19.33,0.8504672897196262,-3.039999999999999,0.0,0.0,0,21.471568317548446,22.81,25.28,4562,4214
4957,Avery Bradley,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,21.99,2.26,3.31,0.59,2.2,1.59,0.28,0.69,0.62,17.94,19.3,12.47,1.5070527097253155,6.83,0.0,0.508678375757431,0,21.089419377391692,22.36,24.96,4471,4160
4958,Alex Caruso,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,23.26,2.16,1.08,1.06,3.48,2.92,0.86,0.8,1.09,16.85,15.37,18.3,0.8481865284974092,-2.9300000000000015,0.0,0.0,0,21.124053264732197,21.07,20.66,4213,3444
4959,Patrick Beverley,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,23.69,1.65,1.27,0.0,4.72,3.35,0.8,1.05,1.29,17.58,20.81,14.4,1.416233766233766,6.409999999999998,0.0,0.0,0,21.90562113953915,22.06,21.73,4412,3621
4960,Montrezl Harrell,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,22.6,5.26,0.0,3.01,6.99,1.38,1.28,0.51,1.96,33.56,29.91,30.77,0.9729304375196727,-0.8599999999999994,0.0,0.0,0,25.879923666483663,27.4,28.44,5480,4739
4961,Rudy Gobert,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,27.02,0.94,0.0,2.95,10.34,1.86,2.01,1.05,1.72,33.96,34.73,32.57,1.0643431635388738,2.1599999999999966,0.0,0.0,0,28.6834933969446,27.49,25.81,5498,4301
4962,Lou Williams,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,28.18,5.26,1.4,1.87,4.21,5.24,0.49,1.23,2.1,29.27,28.35,22.3,1.259656652360515,6.050000000000001,0.0,0.0,0,33.29420514948207,32.56,34.3,6512,5717
4963,Danny Green,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,22.81,0.67,2.47,0.35,2.59,2.24,0.68,1.07,0.75,14.81,17.36,13.97,1.2264529058116231,3.389999999999999,0.0,0.0,0,19.515383670244034,20.07,20.06,4014,3343
4964,JaVale McGee,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,20.77,2.33,1.4,0.6,7.12,0.78,1.32,0.52,1.09,14.31,15.07,15.7,0.9622754491017965,-0.629999999999999,0.0,0.0,0,22.200531981326492,23.6,23.36,4721,3894
4965,Ivica Zubac,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,20.51,3.1,0.4,1.05,7.42,1.4,1.4,0.45,1.65,20.11,21.6,17.07,1.2506917542888767,4.530000000000001,0.0,0.0,0,21.591625678258325,23.35,22.9,4671,3817
4966,Landry Shamet,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,21.97,1.1,2.18,1.32,1.85,1.41,0.14,0.95,0.34,16.39,17.75,15.57,1.1315630657815328,2.1799999999999997,0.0,0.0,0,18.118607827404176,17.33,19.09,3465,3181
4967,Kyle Kuzma,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,23.73,4.2,1.16,1.15,3.7,2.44,0.5,0.73,1.27,19.92,21.41,20.03,1.065620542082739,1.379999999999999,0.0,0.0,0,24.726729552492543,23.55,25.22,4710,4203
4968,Ed Davis,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,18.37,0.71,0.0,0.0,0.51,0.0,0.94,0.18,0.7,5.13,4.8,5.13,0.9461663947797716,-0.33000000000000007,0.0,0.0,0,0.6471186298970935,4.69,3.95,938,658
4969,Joe Ingles,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,27.35,0.16,1.2,0.2,3.21,5.2,0.76,0.96,1.39,18.34,18.9,15.6,1.1987951807228914,3.299999999999999,0.0,0.0,0,19.921005609221638,19.54,19.28,3908,3213
4970,Quinn Cook,LOS ANGELES LAKERS,2020-07-30,AWAY,LOS ANGELES CLIPPERS,19.83,1.94,0.69,0.0,1.06,0.23,0.65,0.54,0.59,4.75,8.46,4.47,1.7294332723948813,3.990000000000001,0.0,0.0,0,11.32759057265946,10.55,10.05,2109,1675
4971,JaMychal Green,LOS ANGELES CLIPPERS,2020-07-30,AWAY,LOS ANGELES LAKERS,19.7,1.43,1.54,0.91,5.74,0.84,0.84,0.69,0.69,15.26,15.1,20.1,0.7630331753554502,-5.000000000000002,0.0,0.0,0,20.12420407200581,20.44,20.31,4088,3385
4972,Jordan Clarkson,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,22.13,3.51,3.73,0.0,1.63,0.75,0.05,0.1,1.23,28.42,27.97,22.93,1.2106142916840785,5.039999999999999,0.0,0.0,0,18.20368877731606,20.51,24.42,4102,4070
4973,Royce O'Neale,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,24.09,0.0,2.5,1.74,3.99,1.79,0.78,0.87,0.58,22.45,19.48,26.33,0.7493596780095134,-6.849999999999998,0.39191364428656167,0.0,0,18.999925735481085,21.08,21.17,4217,3529
4974,Juwan Morgan,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,17.65,0.48,0.65,0.0,0.72,0.0,0.66,0.02,0.45,4.24,3.77,3.83,0.9875776397515527,-0.06000000000000005,0.0,0.0,0,3.3633643169950886,5.36,5.27,1073,878
4975,Rayjon Tucker,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,16.99,0.58,0.0,0.0,0.0,0.0,0.62,0.09,0.32,1.89,2.43,1.87,1.1951219512195121,0.56,0.0,0.0,0,1.0028571810460392,2.97,2.42,594,403
4976,Georges Niang,UTAH JAZZ,2020-07-30,AWAY,NEW ORLEANS PELICANS,18.6,0.13,1.79,0.0,1.52,0.0,0.43,0.3,0.11,8.7,8.2,8.27,0.9924487594390506,-0.07000000000000028,0.0,0.0,0,8.757796105533075,9.53,9.83,1907,1638
