,Name,Position,Game,Team,Minutes,2PT FG,3PT FG,FTM,Rebounds,Assists,Blocks,Steals,Turnovers,Opponent Defensive Rank vs Position,Injury Indicator,Injury Details
0,Nikola Jokic,C,DEN@GS,DEN,36.42,6.18,0.94,3.57,8.24,7.22,0.45,1.16,2.85,9.0, , 
1,Russell Westbrook,PG,WAS@OKC,WAS,36.87,6.33,1.03,3.56,12.75,7.55,0.28,1.68,4.47,21.0, , 
2,James Harden,SG,BOS@BKN,BKN,9.07,2.97,0.28,2.7,5.04,4.39,0.2,0.95,1.66,11.0,O,Hamstring
3,Stephen Curry,PG,DEN@GS,GS,38.31,5.28,1.96,5.28,6.52,4.56,0.43,1.03,2.78,8.0, , 
4,Kyrie Irving,PG,BOS@BKN,BKN,35.33,5.73,2.04,4.24,6.81,6.45,0.5,1.35,2.72,22.0, , 
5,Kawhi Leonard,SF,LAC@HOU,LAC,26.33,5.45,1.74,3.69,8.4,4.84,0.07,1.19,2.55,16.0,O,Foot
6,Trae Young,PG,MIA@ATL,ATL,31.74,5.02,1.65,5.38,3.54,7.18,0.21,1.73,3.21,3.0,O,Ankle
7,Jayson Tatum,PF,BOS@BKN,BOS,38.9,5.25,1.4,3.79,9.34,4.02,0.34,0.8,2.77,28.0, , 
8,Paul George,SG,LAC@HOU,LAC,35.91,5.67,2.25,4.12,7.18,5.13,0.32,1.19,2.65,16.0, , 
9,Jimmy Butler,SF,MIA@ATL,MIA,31.86,6.0,0.39,5.82,6.76,7.15,0.08,1.87,2.51,12.0, , 
10,Clint Capela,C,MIA@ATL,ATL,37.96,6.23,0.18,2.26,12.49,0.38,1.68,0.27,1.41,18.0,GTD,Back
11,Bradley Beal,SG,WAS@OKC,WAS,35.27,6.45,1.78,5.47,4.93,4.63,0.38,1.24,2.77,21.0, , 
12,Kevin Durant,SF,BOS@BKN,BKN,12.06,3.08,1.07,2.11,4.47,2.66,0.57,0.42,1.59,9.0,GTD,Thigh
13,Damian Lillard,PG,MEM@POR,POR,34.4,3.74,1.95,4.03,5.12,5.86,0.18,2.01,2.74,10.0, , 
14,Bam Adebayo,C,MIA@ATL,MIA,29.85,5.24,0.27,3.46,7.38,4.06,0.34,1.27,2.34,19.0, , 
15,Collin Sexton,SG,CLE@CHA,CLE,29.62,6.51,2.79,5.55,4.65,5.58,0.3,1.25,2.72,13.0, , 
16,Terry Rozier,PG,CLE@CHA,CHA,36.77,3.7,3.57,2.11,5.76,3.84,0.38,1.11,1.93,17.0, , 
17,Jaylen Brown,SF,BOS@BKN,BOS,36.29,4.71,2.66,1.91,6.46,2.31,0.47,0.99,1.79,18.0,O,Shoulder
18,Christian Wood,PF,LAC@HOU,HOU,30.42,4.41,1.32,2.84,7.46,1.7,0.37,0.93,1.85,3.0, , 
19,John Wall,PG,LAC@HOU,HOU,31.52,5.83,1.19,4.76,5.54,5.8,0.4,1.53,3.25,15.0, , 
20,CJ McCollum,SG,MEM@POR,POR,36.7,4.21,1.99,2.56,5.82,4.03,0.33,1.54,2.35,23.0, , 
21,Jonas Valanciunas,C,MEM@POR,MEM,25.94,5.68,0.07,1.46,9.59,1.1,0.6,0.03,1.42,21.0,O,Concussion
22,Ja Morant,PG,MEM@POR,MEM,28.33,3.68,2.76,3.12,4.54,5.08,0.27,1.41,2.59,15.0, , 
23,Bogdan Bogdanovic,SF,MIA@ATL,ATL,38.14,2.92,3.45,1.68,4.87,3.18,0.45,1.18,1.57,9.0, , 
24,Michael Porter,SF,DEN@GS,DEN,28.29,4.66,1.32,1.34,7.27,1.35,0.69,0.0,1.22,15.0, , 
25,Draymond Green,PF,DEN@GS,GS,30.51,2.67,0.29,1.53,5.92,5.68,0.45,1.85,2.31,22.0, , 
26,John Collins,PF,MIA@ATL,ATL,23.31,4.12,1.25,2.08,6.9,1.12,0.85,0.22,1.3,7.0, , 
27,Miles Bridges,SF,CLE@CHA,CHA,32.03,2.76,2.54,1.18,5.81,2.1,0.66,0.55,1.42,6.0, , 
28,Darius Garland,PG,CLE@CHA,CLE,30.29,3.3,3.24,2.37,3.2,5.46,0.25,1.39,2.32,7.0, , 
29,Gordon Hayward,SF,CLE@CHA,CHA,25.07,3.86,1.1,2.92,5.82,4.61,0.15,1.19,2.0,6.0,O,Foot
30,Shai Gilgeous-Alexander,SG,WAS@OKC,OKC,34.49,6.16,3.4,4.02,6.21,5.29,0.57,1.24,2.81,22.0,O,Foot
31,Andrew Wiggins,SG,DEN@GS,GS,36.87,3.79,0.66,2.59,6.18,2.77,0.74,1.19,1.83,20.0, , 
32,Marcus Smart,SG,BOS@BKN,BOS,33.97,2.43,2.48,2.97,2.89,4.47,0.29,1.58,1.58,1.0, , 
33,Kemba Walker,PG,BOS@BKN,BOS,34.37,2.87,3.72,2.66,3.75,4.69,0.27,1.01,1.65,19.0, , 
